first_name,last_name,birth_date,nationality,position
Rúben,Dias,1997-05-14,Portugal,Defender
Dominic,Sadi,2003-09-02,England,Midfielder
Bukayo,Saka,2001-09-05,England,Forward
Mohamed,Salah,1992-06-15,Egypt,Forward
William,Saliba,2001-03-24,France,Defender
Ishé,Samuels-Smith,2006-06-05,England,Defender
Ibrahim,Sangaré,1997-12-02,Ivory Coast,Midfielder
Malang,Sarr,1999-01-23,France,Defender
Pape,Sarr,2002-09-14,Senegal,Midfielder
Dovydas,Sasnauskas,2007-02-16,Lithuania,Defender
Calum,Scanlon,2005-02-14,England,Defender
Oliver,Scarles,2005-12-12,England,Defender
Dane,Scarlett,2004-03-24,England,Forward
Kevin,Schade,2001-11-27,Germany,Forward
Fabian,Schär,1991-12-20,Switzerland,Defender
Jeffrey,Schlupp,1992-12-23,Ghana,Midfielder
Alex,Scott,2003-08-21,England,Midfielder
Kristian,Šekularac,2003-12-07,Serbia,Midfielder
Matz,Sels,1992-02-26,Belgium,Goalkeeper
Antoine,Semenyo,2000-01-07,Ghana,Forward
Marcos,Senesi,1997-05-10,Argentina,Defender
Sergio,Gómez,2000-09-04,Spain,Defender
Ryan,Sessegnon,2000-05-18,England,Midfielder
Teddy,Sharman-Lowe,2003-03-30,England,Goalkeeper
Luke,Shaw,1995-07-12,England,Defender
James,Shea,1991-06-16,England,Goalkeeper
Shola,Shoretire,2004-02-02,England,Forward
Kamarai,Simon-Swyer,2002-12-04,England,Midfielder
Luis,Sinisterra,1999-06-17,Colombia,Forward
Oliver,Skipp,2000-09-16,England,Midfielder
Adam,Smith,1991-04-29,England,Defender
Emile,Smith Rowe,2000-07-28,England,Midfielder
Dominic,Solanke,1997-09-14,England,Forward
Manor,Solomon,1999-07-24,Israel,Midfielder
Heung-min,Son,1992-07-08,South Korea,Forward
Tomáš,Souček,1995-02-27,Czech Republic,Midfielder
Jason,Steele,1990-08-18,England,Goalkeeper
Raheem,Sterling,1994-12-08,England,Forward
John,Stones,1994-05-28,England,Defender
Thomas,Strakosha,1995-03-19,Albania,Goalkeeper
Zak,Sturge,2004-06-15,England,Midfielder
Ronnie,Stutter,2005-01-06,England,Forward
James,Sweet,2004-11-03,England,Midfielder
Sil,Swinkels,2004-01-06,Netherlands,Defender
Dominik,Szoboszlai,2000-10-25,Hungary,Midfielder
Devan,Tanton,2004-01-03,USA,Defender
Matt,Targett,1995-09-18,England,Defender
James,Tarkowski,1992-11-19,England,Defender
Jimi,Tauriainen,2004-03-09,Finland,Forward
Marcus,Tavernier,1999-03-22,England,Midfielder
Charlie,Taylor,1993-09-18,England,Defender
Kenny,Tete,1995-10-09,Netherlands,Defender
Thiago,,1991-04-11,Spain,Midfielder
Thiago,Silva,1984-09-22,Brazil,Defender
Elliot,Thorpe,2000-11-09,Wales,Midfielder
Youri,Tielemans,1997-05-07,Belgium,Midfielder
Jurriën,Timber,2001-06-17,Netherlands,Defender
Harry,Toffolo,1995-08-19,England,Defender
Takehiro,Tomiyasu,1998-11-05,Japan,Defender
James,Tomkins,1989-03-29,England,Defender
Sandro,Tonali,2000-05-08,Italy,Midfielder
Ivan,Toney,1996-03-16,England,Forward
Toti,,1999-01-16,Portugal,Defender
Andros,Townsend,1991-07-16,England,Forward
James,Trafford,2002-10-10,England,Goalkeeper
Boubacar,Traoré,2001-08-20,Mali,Midfielder
Mark,Travers,1999-05-18,Ireland,Goalkeeper
Mike,Trésor,1999-05-28,Belgium,Midfielder
Ryan,Trevitt,2003-03-12,England,Midfielder
Kieran,Trippier,1990-09-19,England,Defender
Leandro,Trossard,1994-12-04,Belgium,Forward
Auston,Trusty,1998-08-12,USA,Defender
Kostas,Tsimikas,1996-05-12,Greece,Defender
Matt,Turner,1994-06-24,USA,Goalkeeper
Destiny,Udogie,2002-11-28,Italy,Defender
Lesley,Ugochukwu,2004-03-26,France,Midfielder
Franco,Umeh,2005-01-26,Ireland,Forward
Enes,Ünal,1997-05-10,Turkey,Forward
Hákon,Valdimarsson,2001-10-13,Iceland,Goalkeeper
Micky,van de Ven,2001-04-19,Netherlands,Defender
Virgil,van Dijk,1991-07-08,Netherlands,Defender
Jan Paul,van Hecke,2000-06-08,Netherlands,Defender
Raphaël,Varane,1993-04-25,France,Defender
Joël,Veltman,1992-01-15,Netherlands,Defender
Bart,Verbruggen,2002-08-18,Netherlands,Goalkeeper
Guglielmo,Vicario,1996-10-07,Italy,Goalkeeper
Lawrence,Vigouroux,1993-11-19,England,Goalkeeper
Vinicius,Souza,1999-06-17,Brazil,Midfielder
Vitinho,,1999-07-23,Brazil,Midfielder
Odisseas,Vlachodimos,1994-04-26,Greece,Goalkeeper
Kyle,Walker,1990-05-28,England,Defender
Reuell,Walters,2004-12-16,England,Defender
Jack,Walton,1998-04-23,England,Goalkeeper
Aaron,Wan-Bissaka,1997-11-26,England,Defender
Joel,Ward,1989-10-29,England,Defender
James,Ward-Prowse,1994-11-01,England,Midfielder
Lewis,Warrington,2002-10-10,England,Midfielder
Ollie,Watkins,1995-12-30,England,Forward
Adam,Webster,1995-01-04,England,Defender
Danny,Welbeck,1990-11-26,England,Forward
Timo,Werner,1996-03-06,Germany,Forward
Adam,Wharton,2004-02-06,England,Midfielder
Ethan,Wheatley,2006-01-20,England,Forward
Ben,White,1997-10-08,England,Defender
Joe,White,2002-10-01,England,Midfielder
Alfie,Whiteman,1998-10-02,England,Goalkeeper
Matthew,Whittingham,2004-10-24,England,Defender
Joe,Whitworth,2004-02-29,England,Goalkeeper
Dylan,Williams,2003-09-13,England,Defender
Neco,Williams,2001-04-13,Wales,Defender
Rhys,Williams,2001-02-03,England,Defender
Willian,,1988-08-09,Brazil,Forward
Joe,Willock,1999-08-20,England,Midfielder
Callum,Wilson,1992-02-27,England,Forward
Harry,Wilson,1997-03-22,Wales,Forward
Yoane,Wissa,1996-09-03,DR Congo,Forward
Chris,Wood,1991-12-07,New Zealand,Forward
Cauley,Woodrow,1994-12-02,England,Forward
Jacob,Wright,2005-09-21,England,Midfielder
James,Wright,2004-12-02,England,Goalkeeper
Yago,Santiago,2003-04-15,Spain,Midfielder
Yegor,Yarmolyuk,2004-03-01,Ukraine,Midfielder
Ryan,Yates,1997-11-21,England,Midfielder
Ashley,Young,1985-07-09,England,Defender
Kadan,Young,2006-01-19,England,Forward
Youssef,Chermiti,2004-05-24,Portugal,Forward
Ilya,Zabarnyi,2002-09-01,Ukraine,Defender
Nicolò,Zaniolo,1999-07-02,Italy,Forward
Zanka,,1990-04-23,Denmark,Defender
Oleksandr,Zinchenko,1996-12-15,Ukraine,Defender
Kurt,Zouma,1994-10-27,France,Defender
